"Column Name","Label"
"DP3_0017C","Number!!EMPLOYMENT STATUS!!Own children of the householder under 6 years (excluding persons in military housing units)"
"DP3_0017CA","Annotation of Number!!EMPLOYMENT STATUS!!Own children of the householder under 6 years (excluding persons in military housing units)"
"DP3_0018C","Number!!EMPLOYMENT STATUS!!Own children of the householder under 6 years (excluding persons in military housing units)!!All parents in family in labor force"
"DP3_0018CA","Annotation of Number!!EMPLOYMENT STATUS!!Own children of the householder under 6 years (excluding persons in military housing units)!!All parents in family in labor force"
"DP3_0019C","Number!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years (excluding people in military housing units)"
"DP3_0019CA","Annotation of Number!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years (excluding people in military housing units)"
"DP3_0020C","Number!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years (excluding people in military housing units)!!All parents in family in labor force"
"DP3_0020CA","Annotation of Number!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years (excluding people in military housing units)!!All parents in family in labor force"
"DP3_0021C","Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)"
"DP3_0021CA","Annotation of Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)"
"DP3_0022C","Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked in Guam"
"DP3_0022CA","Annotation of Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked in Guam"
"DP3_0023C","Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked in Guam!!Same county as residence"
"DP3_0023CA","Annotation of Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked in Guam!!Same county as residence"
"DP3_0024C","Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked in Guam!!Different county than residence"
"DP3_0024CA","Annotation of Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked in Guam!!Different county than residence"
"DP3_0025C","Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked outside Guam"
"DP3_0025CA","Annotation of Number!!PLACE OF WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked outside Guam"
"DP3_0026C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)"
"DP3_0026CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)"
"DP3_0027C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Car, truck, or private van/bus -- drove alone"
"DP3_0027CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Car, truck, or private van/bus -- drove alone"
"DP3_0028C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Car, truck, or private van/bus -- carpooled"
"DP3_0028CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Car, truck, or private van/bus -- carpooled"
"DP3_0029C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Public transportation (excluding taxicab)"
"DP3_0029CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Public transportation (excluding taxicab)"
"DP3_0030C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Public transportation (excluding taxicab)!!Public van/bus"
"DP3_0030CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Public transportation (excluding taxicab)!!Public van/bus"
"DP3_0031C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Public transportation (excluding taxicab)!!Boat, ferry, or water taxi"
"DP3_0031CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Public transportation (excluding taxicab)!!Boat, ferry, or water taxi"
"DP3_0032C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Taxicab"
"DP3_0032CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Taxicab"
"DP3_0033C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Motorcycle"
"DP3_0033CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Motorcycle"
"DP3_0034C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Plane or seaplane"
"DP3_0034CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Plane or seaplane"
"DP3_0035C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Bicycle"
"DP3_0035CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Bicycle"
"DP3_0036C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Walked"
"DP3_0036CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Walked"
"DP3_0037C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Other means"
"DP3_0037CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Other means"
"DP3_0038C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked from home"
"DP3_0038CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Worked from home"
"DP3_0039C","Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Mean travel time to work (minutes)"
"DP3_0039CA","Annotation of Number!!COMMUTING TO WORK!!Workers 16 years and over in households (excluding people in military housing units)!!Mean travel time to work (minutes)"
"DP3_0040C","Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)"
"DP3_0040CA","Annotation of Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)"
"DP3_0041C","Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Management, business, science, and arts occupations"
"DP3_0041CA","Annotation of Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Management, business, science, and arts occupations"
"DP3_0042C","Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Service occupations"
"DP3_0042CA","Annotation of Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Service occupations"
"DP3_0043C","Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Sales and office occupations"
"DP3_0043CA","Annotation of Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Sales and office occupations"
"DP3_0044C","Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Natural resources, construction, and maintenance occupations"
"DP3_0044CA","Annotation of Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Natural resources, construction, and maintenance occupations"
"DP3_0045C","Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Production, transportation, and material moving occupations"
"DP3_0045CA","Annotation of Number!!OCCUPATION [1]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Production, transportation, and material moving occupations"
"DP3_0046C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)"
"DP3_0046CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)"
"DP3_0047C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Agriculture, forestry, fishing and hunting, and mining"
"DP3_0047CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Agriculture, forestry, fishing and hunting, and mining"
"DP3_0048C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Construction"
"DP3_0048CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Construction"
"DP3_0049C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Manufacturing"
"DP3_0049CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Manufacturing"
"DP3_0050C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Wholesale trade"
"DP3_0050CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Wholesale trade"
"DP3_0051C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Retail trade"
"DP3_0051CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Retail trade"
"DP3_0052C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Transportation and warehousing, and utilities"
"DP3_0052CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Transportation and warehousing, and utilities"
"DP3_0053C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Information"
"DP3_0053CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Information"
"DP3_0054C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Finance and insurance, and real estate and rental and leasing"
"DP3_0054CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Finance and insurance, and real estate and rental and leasing"
"DP3_0055C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Professional, scientific, and management, and administrative and waste management services"
"DP3_0055CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Professional, scientific, and management, and administrative and waste management services"
"DP3_0056C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Educational services, and health care and social assistance"
"DP3_0056CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Educational services, and health care and social assistance"
"DP3_0057C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Arts, entertainment, and recreation, and accommodation and food services"
"DP3_0057CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Arts, entertainment, and recreation, and accommodation and food services"
"DP3_0058C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Other services, except public administration"
"DP3_0058CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Other services, except public administration"
"DP3_0059C","Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Public administration"
"DP3_0059CA","Annotation of Number!!INDUSTRY [2]!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Public administration"
"DP3_0060C","Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)"
"DP3_0060CA","Annotation of Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)"
"DP3_0061C","Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Private wage and salary workers"
"DP3_0061CA","Annotation of Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Private wage and salary workers"
"DP3_0062C","Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Government workers"
"DP3_0062CA","Annotation of Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Government workers"
"DP3_0063C","Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Self-employed workers in own not incorporated business and unpaid family workers"
"DP3_0063CA","Annotation of Number!!CLASS OF WORKER!!Civilian employed population 16 years and over in households (excluding people in military housing units)!!Self-employed workers in own not incorporated business and unpaid family workers"
"DP3_0064C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)"
"DP3_0064CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)"
"DP3_0065C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!With health insurance coverage"
"DP3_0065CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!With health insurance coverage"
"DP3_0066C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!With health insurance coverage!!With private health insurance"
"DP3_0066CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!With health insurance coverage!!With private health insurance"
"DP3_0067C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!With health insurance coverage!!With public coverage"
"DP3_0067CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!With health insurance coverage!!With public coverage"
"DP3_0068C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!No health insurance coverage"
"DP3_0068CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population in households (excluding people in military housing units)!!No health insurance coverage"
"DP3_0069C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population under 19 years in households (excluding people in military housing units)"
"DP3_0069CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population under 19 years in households (excluding people in military housing units)"
"DP3_0070C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population under 19 years in households (excluding people in military housing units)!!With health insurance coverage"
"DP3_0070CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population under 19 years in households (excluding people in military housing units)!!With health insurance coverage"
"DP3_0071C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population under 19 years in households (excluding people in military housing units)!!No health insurance coverage"
"DP3_0071CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population under 19 years in households (excluding people in military housing units)!!No health insurance coverage"
"DP3_0072C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)"
"DP3_0072CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)"
"DP3_0073C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force"
"DP3_0073CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force"
"DP3_0074C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed"
"DP3_0074CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed"
"DP3_0075C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!With health insurance coverage"
"DP3_0075CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!With health insurance coverage"
"DP3_0076C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!With health insurance coverage!!With private health insurance"
"DP3_0076CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!With health insurance coverage!!With private health insurance"
"DP3_0077C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!With health insurance coverage!!With public coverage"
"DP3_0077CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!With health insurance coverage!!With public coverage"
"DP3_0078C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!No health insurance coverage"
"DP3_0078CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Employed!!No health insurance coverage"
"DP3_0079C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed"
"DP3_0079CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed"
"DP3_0080C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!With health insurance coverage"
"DP3_0080CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!With health insurance coverage"
"DP3_0081C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!With health insurance coverage!!With private health insurance"
"DP3_0081CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!With health insurance coverage!!With private health insurance"
"DP3_0082C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!With health insurance coverage!!With public coverage"
"DP3_0082CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!With health insurance coverage!!With public coverage"
"DP3_0083C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!No health insurance coverage"
"DP3_0083CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!In labor force!!Unemployed!!No health insurance coverage"
"DP3_0084C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force"
"DP3_0084CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force"
"DP3_0085C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!With health insurance coverage"
"DP3_0085CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!With health insurance coverage"
"DP3_0086C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!With health insurance coverage!!With private health insurance"
"DP3_0086CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!With health insurance coverage!!With private health insurance"
"DP3_0087C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!With health insurance coverage!!With public coverage"
"DP3_0087CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!With health insurance coverage!!With public coverage"
"DP3_0088C","Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!No health insurance coverage"
"DP3_0088CA","Annotation of Number!!HEALTH INSURANCE COVERAGE STATUS!!Civilian population 19 to 64 years in households (excluding people in military housing units)!!Not in labor force!!No health insurance coverage"
"DP3_0089C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)"
"DP3_0089CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)"
"DP3_0090C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!Less than $2,500"
"DP3_0090CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!Less than $2,500"
"DP3_0091C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$2,500 to $4,999"
"DP3_0091CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$2,500 to $4,999"
"DP3_0092C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$5,000 to $9,999"
"DP3_0092CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$5,000 to $9,999"
"DP3_0093C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$10,000 to $14,999"
"DP3_0093CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$10,000 to $14,999"
"DP3_0094C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$15,000 to $19,999"
"DP3_0094CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$15,000 to $19,999"
"DP3_0095C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$20,000 to $24,999"
"DP3_0095CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$20,000 to $24,999"
"DP3_0096C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$25,000 to $29,999"
"DP3_0096CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$25,000 to $29,999"
"DP3_0097C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$30,000 to $39,999"
"DP3_0097CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$30,000 to $39,999"
"DP3_0098C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$40,000 to $49,999"
"DP3_0098CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$40,000 to $49,999"
"DP3_0099C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$50,000 to $59,999"
"DP3_0099CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$50,000 to $59,999"
"DP3_0100C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$60,000 to $74,999"
"DP3_0100CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$60,000 to $74,999"
"DP3_0101C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$75,000 to $99,999"
"DP3_0101CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$75,000 to $99,999"
"DP3_0102C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$100,000 to $124,999"
"DP3_0102CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$100,000 to $124,999"
"DP3_0103C","Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$125,000 or more"
"DP3_0103CA","Annotation of Number!!INCOME IN 2019!!Households (excluding people in military housing units)!!$125,000 or more"
