"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"DEGREE",3,"Admin",1,"Geography",2,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Average heating / cooling degree days","HOUSEHOLD","Character","NA",,"1: Coldest: 7,001 or more heating degree days and less than 2,000 cooling degree days||2: Cold: 5,500 to 7,000 heating degree days and less than 2,000 cooling degree days||3: Cool: 4,000 to 5,499 heating degree days and less than 2,000 cooling degree days||4: Mild: less than 4,000 heating degree days and less than 2,000 cooling degree days||5: Mixed: 2,000 to 3,999 heating degree days and 2,000 or more cooling degree days||6: Hot: less than 2,000 heating degree days and 2,000 or more cooling degree days",,,,,
"DIVISION",4,"Admin",1,"Geography",2,"2013 National, 2011 National","PUF","Census division","HOUSEHOLD","Character","NA",,"01: New England||02: Middle Atlantic||03: East North Central||04: West North Central||07: West South Central||56: South Atlantic and East South Central||89: Mountain and Pacific",,,,,
"CMSA",22,"Admin",1,"Geography",2,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","1980 design CMSA code","HOUSEHOLD","Character","NA",,"07: Boston - Lawrence - Salem, MA-NH||10: Buffalo - Niagara Falls, NY||31: Dallas - Ft. Worth, TX||34: Denver - Boulder, CO||41: Hartford - New Britain - Middletown, CT||47: Kansas City, MO - Kansas City, KS||49: Los Angeles - Anaheim - Riverside, CA||56: Miami - Ft. Lauderdale, FL||70: New York - Northern New Jersey - Long Island, NY - NJ - CT||78: Pittsburgh - Beaver Valley, PA||79: Portland - Vancouver, OR - WA||80: Providence - Pawtucket - Fall River, RI - MA||82: St. Louis - East St. Louis - Alton, MO - IL||91: Seattle - Tacoma, WA||99: CMSA not identified",,,,,
"METRO",23,"Admin",1,"Geography",2,"2013 Metro","PUF","Multiple central cities / suburban status within metro areas","HOUSEHOLD","Character","NA",,"1: Primary central city of the MSA||2: Secondary central cities of the MSA||3: Secondary central cities of the MSA||7: Suburb of the MSA",,,,,
"METRO3",24,"Admin",1,"Geography",2,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Central city / suburban status","HOUSEHOLD","Character","NA",,"1: Central city of MSA||2: Inside MSA, but not in central city - urban||3: Inside MSA, but not in central city - rural||4: Outside MSA, urban||5: Outside MSA, rural",,,,,
"REGION",25,"Admin",1,"Geography",2,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Census region","HOUSEHOLD","Character","NA",,"1: Northeast||2: Midwest||3: South||4: West",,,,,
"SMSA",26,"Admin",1,"Geography",2,"2013 National, 2011 National","PUF","1980 design PMSA code","HOUSEHOLD","Character","NA",,"0080: Akron, OH||0160: Albany-Schenectady-Troy, NY||0200: Albuquerque, NM||0240: Allentown-Bethlehem-Easton, PA-NJ||0275: Alton-Granite City, IL||0360: Anaheim-Santa Ana (Orange County), CA||0460: Appleton-Oshkosh-Neenah, WI||0520: Atlanta, GA||0560: Atlantic City, NJ||0600: Augusta, GA-SC||0620: Aurora-Elgin, IL||0640: Austin, TX||0680: Bakersfield, CA||0720: Baltimore, MD||0760: Baton Rouge, LA||0840: Beaumont-Port Arthur, TX||0845: Beaver, PA||0875: Bergen-Passaic, NJ||1000: Birmingham, AL||1120: Boston, MA||1125: Boulder-Longmont, CO||1160: Bridgeport-Milford, CT||1320: Canton, OH||1440: Charleston, SC||1560: Chattanooga, TN-GA||1600: Chicago, IL||1640: Cincinnati, OH-KY-IN||1680: Cleveland, OH||1720: Colorado Springs, CO||1760: Columbia, SC||1840: Columbus, OH||1880: Corpus Christi, TX||1920: Dallas, TX||1960: Davenport-Rock Island-Moline, IL-IA||2020: Daytona Beach, FL||2080: Denver, CO||2120: Des Moines, IA||2160: Detroit, MI||2240: Duluth, MN-WI||2285: East Saint Louis-Belleville, IL||2320: El Paso, TX||2360: Erie, PA||2400: Eugene-Springfield, OR||2440: Evansville, IN-KY||2640: Flint, MI||2680: Fort Lauderdale-Hollywood, FL||2700: Fort Meyers-Cape Coral, FL||2760: Fort Wayne, IN||2800: Fort Worth-Arlington, TX||2840: Fresno, CA||2960: Gary-Hammond, IN||3000: Grand Rapids, MI||3120: Greensboro-Winston Salem-High Point, NC||3160: Greenville-Spartanburg, SC||3280: Hartford, CT||3320: Honolulu, HI||3360: Houston, TX||3480: Indianapolis, IN||3560: Jackson, MS||3600: Jacksonville, FL||3640: Jersey City, NJ||3660: Johnson City-Kingsport-Bristol, TN-VA||3760: Kansas City, MO-KS||3840: Knoxville, TN||3965: Lake County, IL||3980: Lakeland-Winter Haven, FL||4000: Lancaster, PA||4040: Lansing-East Lansing, MI||4120: Las Vegas, NV||4160: Lawrence-Haverhill, MA-NH||4280: Lexington-Fayette, KY||4400: Little Rock-North Little Rock-Conway, AR||4480: Los Angeles-Long Beach, CA||4720: Madison, WI||4880: McAllen-Edinburgh-Mission, TX||4900: Melbourne-Titusville-Palm Bay, FL||4920: Memphis, TN-AR-MS||5000: Miami-Hialeah, FL||5015: Middlesex-Somerset-Hunterdon, NJ||5080: Milwaukee, WI||5120: Minneapolis-St. Paul, MN||5160: Mobile, AL||5170: Modesto, CA||5190: Monmouth-Ocean, NJ||5240: Montgomery, AL||5360: Nashville, TN||5380: Nassau-Suffolk, NY||5480: New Haven-Meriden, CT||5560: New Orleans, LA||5600: New York City||5640: Newark, NJ||5720: Norfolk-Portsmouth, VA||5775: Oakland, CA||5880: Oklahoma City, OK||5920: Omaha, NE-IA||5960: Orlando, FL||6000: Oxnard-Ventura, CA||6080: Pensacola, FL||6120: Peoria, IL||6160: Philadelphia, PA-NJ||6200: Phoenix, AZ||6280: Pittsburgh, PA||6480: Providence, RI||6640: Raleigh-Durham, NC||6780: Riverside-San Bernardino, CA||6840: Rochester, NY||6880: Rockford, IL||6920: Sacramento, CA||7040: St. Louis, MO-IL||7090: Salem-Gloucester, MA||7120: Salinas-Seaside-Monterey, CA||7160: Salt Lake City-Ogden, UT||7240: San Antonio, TX||7320: San Diego, CA||7360: San Francisco, CA||7400: San Jose, CA||7480: Santa Barbara-Santa Maria, CA||7500: Santa Rosa-Petaluma, CA||7510: Sarasota, FL||7560: Scranton-Wilkes Barre, PA||7600: Seattle, WA||7680: Shreveport, LA||7840: Spokane, WA||8000: Springfield, MA||8040: Stamford, CT||8120: Stockton, CA||8160: Syracuse, NY||8200: Tacoma, WA||8280: Tampa-St. Petersburg-Clearwater, FL||8400: Toledo, OH||8480: Trenton, NJ||8520: Tucson, AZ||8560: Tulsa, OK||8680: Utica-Rome, NY||8720: Vallejo-Fairfield-Napa, CA||8840: Washington, DC-MD-VA||8880: Waterbury, CT||8960: West Palm Beach-Boca Raton, FL||9040: Wichita, KS||9240: Worcester, MA||9320: Youngstown-Warren, OH||9991: Chicago Areas (0620-Aurora-Elgin, 1600-Chicago, 3690-Joliet, 3965-Lake)||9992: New York Areas (5380-Nassau-Suffolk, 5600-New York, 5950-Orange County)||9993: Northern New Jersey Areas (0875-Bergen-Passaic, 3640-Jersey City, 5015-Middlesex-Somerset-Hunterdon, 5190-Monmouth-Ocean, 5640-Newark, 8480-Trenton)||9999: Non-metro or suppressed",,,,,
"SMSA",26,"Admin",1,"Geography",2,"2013 Metro","PUF","1980 design PMSA code","HOUSEHOLD","Character","NA",,"0640: Austin, TX||0720: Baltimore, MD||1120: Boston, MA||3280: Hartford, CT||3360: Houston, TX||3600: Jacksonville, FL||4120: Las Vegas, NV||4520: Louisville, KY-IN||5000: Miami-Hialeah, FL||5120: Minneapolis-St. Paul, MN||5360: Nashville, TN||5880: Oklahoma City, OK||5960: Orlando, FL||6760: Richmond-Petersburg, VA||6840: Rochester, NY||7240: San Antonio, TX||7600: Seattle, WA||8280: Tampa-St. Petersburg-Clearwater, FL||8520: Tucson, AZ||8840: Washington, DC-MD-VA",,,,,
"WEIGHT",9,"Admin",1,"Weighting",3,"2013 Metro, 2011 Metro, 2009 Metro, 2004 Metro, 2002 Metro","PUF","Final weight using 1980 geography","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999",,,,,
"REPWGTXXX",10,"Admin",1,"Weighting",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2007 National","PUF","Replicate weight (XXX represents 1 - 160)","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999",,,,,
"SP1SUBWGT",11,"Admin",1,"Weighting",3,"2013 National","PUF","Split subsidized renter weight for group 1","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SP1SUBWGTREPXXX",12,"Admin",1,"Weighting",3,"2013 National","PUF","Split subsidized renter replicate weight for group 1","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||. : Not applicable",,,,,
"SP2SUBWGT",13,"Admin",1,"Weighting",3,"2013 National","PUF","Split subsidized renter weight for group 2","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SP2SUBWGTREPXXX",14,"Admin",1,"Weighting",3,"2013 National","PUF","Split subsidized renter replicate weight for group 2","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||. : Not applicable",,,,,
"SPLT1WGTXXX",15,"Admin",1,"Weighting",3,"2013 National, 2013 Metro","PUF","Replicate weight for split sample: group 1 topical modules (XXX represents 1 - 160)","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999",,,,,
"SPLT2WGTXXX",16,"Admin",1,"Weighting",3,"2013 National, 2013 Metro","PUF","Replicate weight for split sample: group 2 topical modules (XXX represents 1 - 160)","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999",,,,,
"SPLTWGT1",17,"Admin",1,"Weighting",3,"2013 National","PUF","National split weight for Public Transit and Disaster Planning","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SPLTWGT1",17,"Admin",1,"Weighting",3,"2013 Metro","PUF","Metro split weight for Public Transit and Disaster Planning","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SPLTWGT2",18,"Admin",1,"Weighting",3,"2013 National","PUF","National split weight for Neighborhood and Collective Efficacy","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SPLTWGT2",18,"Admin",1,"Weighting",3,"2013 Metro","PUF","Metro split weight for Neighborhood and Collective Efficacy","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SUBWGT",19,"Admin",1,"Weighting",3,"2013 National","PUF","National subsidized renter weight","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||B: Not applicable",,,,,
"SUBWGTREPXXX",20,"Admin",1,"Weighting",3,"2013 National","PUF","National subsidized renter replicate weight","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999||. : Not applicable",,,,,
"WGT90GEO",21,"Admin",1,"Weighting",3,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National","PUF","Final weight using 1990 geography","HOUSEHOLD","Numeric","NA",,"0 : 999999: 0 to 999,999",,,,,
"JXXXXX",1,"Admin",1,"Edit Variables",4,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Edit flag for XXXXX (where (XXXXX represents the name of the variable)","ALL","Character","NA",,"Blank: No change||1: Changed by edit||2: Changed by hot deck||3: Changed by regression (utilities variables only)||4: Changed by edit and hot deck (income variables only)",,,,,
"CONDO",2,"Occupancy and Tenure",2,"Tenure",1,"2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Unit is condominium or cooperative","HOUSEHOLD","Character","JCONDO",,"1: Condo or cooperative||3: Not condominium or cooperative",,,,,
"CONDO",2,"Occupancy and Tenure",2,"Tenure",1,"2013 Metro, 2011 Metro, 2009 Metro, 2007 Metro, 2004 Metro, 2002 Metro, 1998 Metro","PUF","Unit is condominium or cooperative","HOUSEHOLD","Character","JCONDO",,"1: Condo or cooperative||3: Not a condominium or cooperative",,,,,
"OWNLOT",6,"Occupancy and Tenure",2,"Tenure",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Household owns the land","HOUSEHOLD","Character","JWNLOT",,"1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable",,,,,
"TENURE",7,"Occupancy and Tenure",2,"Tenure",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Owner or renter status of unit","HOUSEHOLD","Character","JENURE",,"1: Owned or being bought by someone in your household||2: Rented||3: Occupied without payment of rent||B: Not applicable",,,,,
"OWNHERE",8,"Occupancy and Tenure",2,"Tenure",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro","PUF","Owner / resident manager lives on-site","HOUSEHOLD","Character","JWNHER",,"1: Yes||2: No||B: Not applicable",,,,,
"TEN",9,"Occupancy and Tenure",2,"Tenure",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","This person is owner or renter of unit","PERSON","Character","JTEN",,"1: Owner or renter of unit||2: Not the owner or renter",,,,,
"TIMSHR",10,"Occupancy and Tenure",2,"Tenure",1,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National","PUF","Ownership of unit time shared","HOUSEHOLD","Character","JIMSHR",,"1: Yes||2: No||B: Not applicable",,,,,
"VACANCY",4,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Vacancy status","HOUSEHOLD","Character","JVACAN",,"01: For rent only||02: For rent or for sale||03: For sale only||04: Rented, but not yet occupied||05: Sold, but not yet occupied||06: Held for occasional use throughout the year||07: Other||08: Seasonal - summer only||09: Seasonal - winter only||10: Other seasonal occupancy||11: Migratory||B: Not applicable",,,,,
"MHSTAY",7,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2009 National, 2005 National, 2003 National","PUF","Mobile home to stay or be moved","HOUSEHOLD","Character","JHSTAY",,"1: Remain||2: To be moved||D: Don't know||Blank: Not reported||B: Not applicable",,,,,
"MHSTAY",7,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 Metro, 2011 National, 2011 Metro, 2007 National, 2004 Metro, 2001 National, 1999 National, 1998 Metro","PUF","Mobile home to stay or be moved","HOUSEHOLD","Character","JHSTAY",,"1: Remain||2: To be moved||Blank: Not reported||B: Not applicable",,,,,
"MOPERM",8,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National","PUF","Number of months since occupied as permanent home","HOUSEHOLD","Numeric","JOPERM",,"0: Less than 1 month||1 : 24: 1 to 24 months||25: Over 2 years||26: Never occupied as a permanent home||D: Don't know||R: Refused||. : Not reported||B: Not applicable",,,,,
"MOVAC",9,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National","PUF","Number of months unit has been vacant","HOUSEHOLD","Numeric","JMOVAC",,"0: 0 to 1 month||1 : 24: 1 to 24 months vacant||25: 2 or more years||26: Never occupied||D: Don't know||R: Refused||B: Not applicable",,,,,
"VACANC2",10,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2013 Metro","PUF","Reason unit is vacant","HOUSEHOLD","Character","NA",,"1: For rent only||2: For rent or for sale||3: For sale only||4: Rented, but not yet occupied||5: Sold, but not yet occupied||6: Held for occasional use throughout the year||7: Other||D: Don't know||R: Refused||B: Not applicable",,,,,
"VACANC2B",11,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2013 Metro","PUF","Unit is vacant for other reason","HOUSEHOLD","Character","NA",,"1: Foreclosure||2: Personal / family reasons||3: Legal proceedings||4: Preparing to rent or sell||5: Held for storage of household furniture||6: Needs repairs||7: Currently being repaired / renovated||8: Specific-use housing||9: Extended absence||10: Abandoned / possibly to be demolished / possibly condemned||11: Other||D: Don't know||R: Refused||B: Not applicable",,,,,
"VACVAC",12,"Occupancy and Tenure",2,"Vacancy Characteristics",2,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2007 National, 2007 Metro, 2004 Metro, 2003 National, 1999 National, 1998 Metro","PUF","Unit for vacation or other short-term use","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable",,,,,
"S150MV",11,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National","PUF","Vacant or URE unit is less than or equal to 150 miles of owners residence","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable",,,,,
"SINHV",12,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Inherited this vacant or URE unit","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable",,,,,
"SINVV",13,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Own vacant or URE unit as an investment","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable",,,,,
"SNITEV",14,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National","PUF","Number of nights owner spends at vacant or URE unit","HOUSEHOLD","Character","NA",,"1: 0 to 2 nights||2: 3 to 7 nights||3: 8 or more nights||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable",,,,,
"SOTHV",15,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Own vacant or URE unit for some other reason","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable",,,,,
"SRECV",16,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Own vacant or URE unit for recreation","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable",,,,,
"SRENTV",17,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National","PUF","Number of nights vacant or URE unit was rented out","HOUSEHOLD","Character","NA",,"1: 0 to 2 nights||2: 3 to 7 nights||3: 8 or more nights||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable",,,,,
"SSELV",18,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Want to sell vacant or URE unit - not sold yet","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable",,,,,
"SXUREV",19,"Occupancy and Tenure",2,"Seasonal and URE Characteristics",3,"2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Vacant or URE unit was previous residence","HOUSEHOLD","Character","NA",,"1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable",,,,,
