Table,NAME,FMTName,Type,Value,Label,Flat,Metro
AHS2021,AMMORT1,AMMORT,N,9999998,"$9,999,998 or more",YES,YES
AHS2021,AMMORT1,AMMORT,N,.N,Not applicable,YES,YES
AHS2021,AMMORT2,AMMORT,N,9999998,"$9,999,998 or more",YES,YES
AHS2021,AMMORT2,AMMORT,N,.N,Not applicable,YES,YES
AHS2021,AMMORT3,AMMORT,N,9999998,"$9,999,998 or more",YES,YES
AHS2021,AMMORT3,AMMORT,N,.N,Not applicable,YES,YES
AHS2021,BATHEXCLU,BATHEXCLU,C,1,Bathroom is outside unit but inside building,YES,YES
AHS2021,BATHEXCLU,BATHEXCLU,C,2,Bathroom is outside building,YES,YES
AHS2021,BATHEXCLU,BATHEXCLU,C,M,Not reported,YES,YES
AHS2021,BATHEXCLU,BATHEXCLU,C,N,Not applicable,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,01,One full bathroom,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,02,1.5 bathrooms,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,03,2 bathrooms,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,04,2.5 bathrooms,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,05,3 bathrooms,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,06,More than 3 bathrooms,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,07,No full bath: sink and tub present,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,08,No full bath: sink and toilet present,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,09,No full bath: tub and toilet present,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,10,No full bath: sink only,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,11,No full bath: tub only,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,12,No full bath: toilet only,YES,YES
AHS2021,BATHROOMS,BATHROOMS,C,13,"No full bath: no sink, tub or toilet",YES,YES
AHS2021,BEDROOMS,BEDROOMS,N,10,10 or more,YES,YES
AHS2021,BLD,BLD,C,01,Mobile home or trailer,YES,YES
AHS2021,BLD,BLD,C,02,"One-family house, detached",YES,YES
AHS2021,BLD,BLD,C,03,"One-family house, attached",YES,YES
AHS2021,BLD,BLD,C,04,2 apartments,YES,YES
AHS2021,BLD,BLD,C,05,3 to 4 apartments,YES,YES
AHS2021,BLD,BLD,C,06,5 to 9 apartments,YES,YES
AHS2021,BLD,BLD,C,07,10 to 19 apartments,YES,YES
AHS2021,BLD,BLD,C,08,20 to 49 apartments,YES,YES
AHS2021,BLD,BLD,C,09,50 or more apartments,YES,YES
AHS2021,BLD,BLD,C,10,"Boat, RV, van, etc.",YES,YES
AHS2021,CELLPHONE,CELLPHONE,N,.M,Not reported,YES,YES
AHS2021,CELLPHONE,CELLPHONE,N,.N,Not applicable,YES,YES
AHS2021,CITSHP1,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP1,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP1,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP1,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP1,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP1,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP1,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP10,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP10,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP10,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP10,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP10,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP10,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP10,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP11,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP11,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP11,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP11,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP11,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP11,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP11,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP12,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP12,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP12,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP12,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP12,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP12,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP12,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP13,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP13,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP13,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP13,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP13,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP13,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP13,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP14,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP14,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP14,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP14,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP14,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP14,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP14,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP15,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP15,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP15,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP15,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP15,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP15,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP15,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP16,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP16,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP16,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP16,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP16,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP16,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP16,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP17,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP17,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP17,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP17,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP17,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP17,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP17,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP18,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP18,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP18,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP18,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP18,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP18,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP18,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP19,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP19,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP19,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP19,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP19,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP19,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP19,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP2,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP2,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP2,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP2,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP2,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP2,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP2,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP3,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP3,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP3,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP3,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP3,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP3,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP3,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP4,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP4,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP4,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP4,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP4,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP4,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP4,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP5,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP5,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP5,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP5,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP5,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP5,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP5,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP6,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP6,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP6,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP6,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP6,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP6,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP6,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP7,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP7,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP7,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP7,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP7,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP7,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP7,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP8,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP8,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP8,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP8,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP8,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP8,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP8,CITSHP,C,N,Not applicable,YES,YES
AHS2021,CITSHP9,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2021,CITSHP9,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2021,CITSHP9,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2021,CITSHP9,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2021,CITSHP9,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2021,CITSHP9,CITSHP,C,M,Not reported,YES,YES
AHS2021,CITSHP9,CITSHP,C,N,Not applicable,YES,YES
AHS2021,COLD,COLD,C,1,Yes,YES,YES
AHS2021,COLD,COLD,C,2,No,YES,YES
AHS2021,COLD,COLD,C,3,Household did not live in the unit last winter,YES,YES
AHS2021,COLD,COLD,C,M,Not reported,YES,YES
AHS2021,COLD,COLD,C,N,Not applicable,YES,YES
AHS2021,COLDCOST,COLDCOST,C,1,Yes,YES,YES
AHS2021,COLDCOST,COLDCOST,C,2,No,YES,YES
AHS2021,COLDCOST,COLDCOST,C,M,Not reported,YES,YES
AHS2021,COLDCOST,COLDCOST,C,N,Not applicable,YES,YES
AHS2021,COLDEQ,COLDEQ,C,1,Yes,YES,YES
AHS2021,COLDEQ,COLDEQ,C,2,No,YES,YES
AHS2021,COLDEQ,COLDEQ,C,M,Not reported,YES,YES
AHS2021,COLDEQ,COLDEQ,C,N,Not applicable,YES,YES
AHS2021,COLDEQFREQ,COLDEQFREQ,N,0,Never broke down for 6 hours,YES,YES
AHS2021,COLDEQFREQ,COLDEQFREQ,N,8,8 or more breakdowns lasting 6 hours or more,YES,YES
AHS2021,COLDEQFREQ,COLDEQFREQ,N,.M,Not reported,YES,YES
AHS2021,COLDEQFREQ,COLDEQFREQ,N,.N,Not applicable,YES,YES
AHS2021,COLDHTCAP,COLDHTCAP,C,1,Yes,YES,YES
AHS2021,COLDHTCAP,COLDHTCAP,C,2,No,YES,YES
AHS2021,COLDHTCAP,COLDHTCAP,C,M,Not reported,YES,YES
AHS2021,COLDHTCAP,COLDHTCAP,C,N,Not applicable,YES,YES
AHS2021,COLDINSUL,COLDINSUL,C,1,Yes,YES,YES
AHS2021,COLDINSUL,COLDINSUL,C,2,No,YES,YES
AHS2021,COLDINSUL,COLDINSUL,C,M,Not reported,YES,YES
AHS2021,COLDINSUL,COLDINSUL,C,N,Not applicable,YES,YES
AHS2021,COLDOTHER,COLDOTHER,C,1,Yes,YES,YES
AHS2021,COLDOTHER,COLDOTHER,C,2,No,YES,YES
AHS2021,COLDOTHER,COLDOTHER,C,M,Not reported,YES,YES
AHS2021,COLDOTHER,COLDOTHER,C,N,Not applicable,YES,YES
AHS2021,COLDUTIL,COLDUTIL,C,1,Yes,YES,YES
AHS2021,COLDUTIL,COLDUTIL,C,2,No,YES,YES
AHS2021,COLDUTIL,COLDUTIL,C,M,Not reported,YES,YES
AHS2021,COLDUTIL,COLDUTIL,C,N,Not applicable,YES,YES
AHS2021,CONDO,CONDO,C,1,Yes,YES,YES
AHS2021,CONDO,CONDO,C,2,No,YES,YES
AHS2021,COOKFUEL,COOKFUEL,C,1,Electric,YES,YES
AHS2021,COOKFUEL,COOKFUEL,C,2,Piped gas,YES,YES
AHS2021,COOKFUEL,COOKFUEL,C,3,Liquefied petroleum gas,YES,YES
AHS2021,COOKFUEL,COOKFUEL,C,4,Other,YES,YES
AHS2021,COOKFUEL,COOKFUEL,C,5,None,YES,YES
AHS2021,COOKTYPE,COOKTYPE,C,1,"Cooking stove or range with oven, in working order",YES,YES
AHS2021,COOKTYPE,COOKTYPE,C,2,"Built-in cooking burners, no oven in working order",YES,YES
AHS2021,COOKTYPE,COOKTYPE,C,3,"Has microwave, but no oven or burners",YES,YES
AHS2021,COOKTYPE,COOKTYPE,C,4,No working cooking equipment,YES,YES
AHS2021,DBEVICLK,DBEVICLK,C,1,Very likely,YES,YES
AHS2021,DBEVICLK,DBEVICLK,C,2,Somewhat likely,YES,YES
AHS2021,DBEVICLK,DBEVICLK,C,3,Not very likely,YES,YES
AHS2021,DBEVICLK,DBEVICLK,C,M,Not reported,YES,YES
AHS2021,DBEVICLK,DBEVICLK,C,N,Not applicable,YES,YES
AHS2021,DBEVICNOTE,DBEVICNOTE,C,1,Yes,YES,YES
AHS2021,DBEVICNOTE,DBEVICNOTE,C,2,No,YES,YES
AHS2021,DBEVICNOTE,DBEVICNOTE,C,M,Not reported,YES,YES
AHS2021,DBEVICNOTE,DBEVICNOTE,C,N,Not applicable,YES,YES
AHS2021,DBEVICTHT,DBEVICTHT,C,1,Yes,YES,YES
AHS2021,DBEVICTHT,DBEVICTHT,C,2,No,YES,YES
AHS2021,DBEVICTHT,DBEVICTHT,C,M,Not reported,YES,YES
AHS2021,DBEVICTHT,DBEVICTHT,C,N,Not applicable,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,1,New home,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,2,Friends,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,3,Family,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,4,Different places,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,5,Shelter,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,M,Not reported,YES,YES
AHS2021,DBEVICWHERE,DBEVICWHERE,C,N,Not applicable,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,1,New home,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,2,Friends,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,3,Family,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,4,Different places,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,5,Shelter,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,M,Not reported,YES,YES
AHS2021,DBFORCWHR,DBFORCWHR,C,N,Not applicable,YES,YES
AHS2021,DBLVEFORC,DBLVEFORC,C,1,Very likely,YES,YES
AHS2021,DBLVEFORC,DBLVEFORC,C,2,Somewhat likely,YES,YES
AHS2021,DBLVEFORC,DBLVEFORC,C,3,Not very likely,YES,YES
AHS2021,DBLVEFORC,DBLVEFORC,C,M,Not reported,YES,YES
AHS2021,DBLVEFORC,DBLVEFORC,C,N,Not applicable,YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,1,Received a notice one of the last three months,YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,2,Received a notice two of the last three months,YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,3,Received a notice three of the last three months,YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,4,"Received a notice, time period not reported",YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,5,No notice,YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,M,Not reported,YES,YES
AHS2021,DBMISSMORT,DBMISSMORT,C,N,Not applicable,YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,1,Unable to pay one of the last three months,YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,2,Unable to pay two of the last three months,YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,3,Unable to pay three of the last three months,YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,4,"Unable to pay, time period not reported",YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,5,Has not been unable to pay rent,YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,M,Not reported,YES,YES
AHS2021,DBMISSRENT,DBMISSRENT,C,N,Not applicable,YES,YES
AHS2021,DBUTBILL,DBUTBILL,C,1,"Received notice, utilities shut off",YES,YES
AHS2021,DBUTBILL,DBUTBILL,C,2,"Received notice, utilities not shut off",YES,YES
AHS2021,DBUTBILL,DBUTBILL,C,3,"Received notice, shut-off not reported",YES,YES
AHS2021,DBUTBILL,DBUTBILL,C,4,No notice,YES,YES
AHS2021,DBUTBILL,DBUTBILL,C,M,Not reported,YES,YES
AHS2021,DBUTBILL,DBUTBILL,C,N,Not applicable,YES,YES
AHS2021,DINING,DINING,N,5,5 or more,YES,YES
AHS2021,DISHH,DISHH,C,1,At least 1 disabled person in unit,YES,YES
AHS2021,DISHH,DISHH,C,2,No disabled persons in unit,YES,YES
AHS2021,DISHH,DISHH,C,M,Not reported,YES,YES
AHS2021,DISHH,DISHH,C,N,Not applicable,YES,YES
AHS2021,DISHWASH,DISHWASH,C,1,Yes,YES,YES
AHS2021,DISHWASH,DISHWASH,C,2,No,YES,YES
AHS2021,DIVISION,DIVISION,C,1,New England,YES,YES
AHS2021,DIVISION,DIVISION,C,2,Middle Atlantic,YES,YES
AHS2021,DIVISION,DIVISION,C,3,East North Central,YES,YES
AHS2021,DIVISION,DIVISION,C,4,West North Central,YES,YES
AHS2021,DIVISION,DIVISION,C,5,South Atlantic,YES,YES
AHS2021,DIVISION,DIVISION,C,6,East South Central,YES,YES
AHS2021,DIVISION,DIVISION,C,7,West South Central,YES,YES
AHS2021,DIVISION,DIVISION,C,8,Mountain,YES,YES
AHS2021,DIVISION,DIVISION,C,9,Pacific,YES,YES
AHS2021,DRYER,DRYER,C,1,Working electric power clothes dryer,YES,YES
AHS2021,DRYER,DRYER,C,2,Working piped gas powered clothes dryer,YES,YES
AHS2021,DRYER,DRYER,C,3,Working liquefied petroleum gas clothes dryer,YES,YES
AHS2021,DRYER,DRYER,C,4,Working other fuel source powered clothes dryer,YES,YES
AHS2021,DRYER,DRYER,C,5,Unit does not have a working clothes dryer,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,0,No down payment,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,1,Greater than zero to 2 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,2,3 to 5 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,3,6 to 10 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,4,11 to 15 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,5,16 to 20 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,6,21 to 40 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,7,41 to 99 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,8,100 percent,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,M,Not reported,YES,YES
AHS2021,DWNPAYPCT,DWNPAYPCT,C,N,Not applicable,YES,YES
AHS2021,ELECAMT,ELECAMT,N,0,Unit does not use electricity,YES,YES
AHS2021,ELECAMT,ELECAMT,N,1,Vacant home: billed separately,YES,YES
AHS2021,ELECAMT,ELECAMT,N,2,"Occupied or vacant home: included in the rent, site rent, condominium fee, other fee, or other utility bill",YES,YES
AHS2021,ELECAMT,ELECAMT,N,3,Occupied home: provided free of charge,YES,YES
AHS2021,ELECAMT,ELECAMT,N,833,$833 or more,YES,YES
AHS2021,ELECAMT,ELECAMT,N,.N,Not applicable,YES,YES
AHS2021,ENROLL1,ENROLL,C,1,Yes,YES,YES
AHS2021,ENROLL1,ENROLL,C,2,No,YES,YES
AHS2021,ENROLL1,ENROLL,C,M,Not reported,YES,YES
AHS2021,ENROLL1,ENROLL,C,N,Not applicable,YES,YES
AHS2021,ENROLL10,ENROLL,C,1,Yes,YES,YES
AHS2021,ENROLL10,ENROLL,C,2,No,YES,YES
AHS2021,ENROLL10,ENROLL,C,M,Not reported,YES,YES
AHS2021,ENROLL10,ENROLL,C,N,Not applicable,YES,YES
AHS2021,ENROLL11,ENROLL,C,1,Yes,YES,YES
